Ref,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","4.7uF","C_0402_1005Metric",115.002000,-53.406800,-90.000000,top
"C2","4.7uF","C_0402_1005Metric",111.674600,-48.888200,180.000000,top
"C3","0.1uF","C_0201_0603Metric",114.513400,-45.008800,0.000000,top
"C4","0.1uF","C_0201_0603Metric",108.915200,-39.090600,180.000000,top
"C5","0.1uF","C_0201_0603Metric",103.962200,-44.780200,180.000000,top
"C6","0.1uF","C_0201_0603Metric",114.528600,-42.926000,0.000000,top
"C7","4.7uF","C_0402_1005Metric",104.190800,-40.411400,180.000000,top
"C8","0.1uF","C_0201_0603Metric",113.715800,-47.650400,90.000000,top
"C9","0.1uF","C_0201_0603Metric",109.566400,-48.761200,0.000000,top
"C10","0.1uF","C_0201_0603Metric",104.816600,-47.802800,-45.000000,top
"C11","0.1uF","C_0201_0603Metric",103.962200,-44.069000,180.000000,top
"C12","0.1uF","C_0201_0603Metric",104.384800,-41.217400,180.000000,top
"C13","4.7uF","C_0402_1005Metric",111.166600,-39.185400,45.000000,top
"C14","0.1uF","C_0201_0603Metric",109.210800,-52.012400,0.000000,top
"C15","4.7uF","C_0402_1005Metric",104.793800,-49.405700,90.000000,top
"C16","4.7uF","C_0402_1005Metric_small_pads",106.984090,-48.960143,180.000000,top
"C17","4.7uF","C_0402_1005Metric_small_pads",106.984090,-49.899943,180.000000,top
"C18","15pF","C_0201_0603Metric",109.651800,-36.935400,0.000000,top
"C19","15pF","C_0201_0603Metric",109.651800,-37.672000,0.000000,top
"D1","LED_Small","LED_0402_1005Metric",103.581200,-59.715400,90.000000,top
"D2","1N5819WS","D_SOD-323",114.960400,-55.974800,-90.000000,top
"D3","1N5819WS","D_SOD-323",114.960400,-59.175200,-90.000000,top
"D4","XL-1010RGBC-WS2812B","XL-1010RGBC-2812B",109.236200,-50.920200,180.000000,top
"J4","USB_C_Receptacle_USB2.0_16P","USB_C_connector_c2765186",109.220000,-56.435000,0.000000,top
"L1","3.3u","L_pol_2016",106.984090,-51.576343,0.000000,top
"R1","10K","R_0201_0603Metric",105.181400,-39.090600,0.000000,top
"R2","1K","R_0201_0603Metric",114.757200,-48.006000,180.000000,top
"R3","10K","R_0201_0603Metric",114.757200,-47.294800,0.000000,top
"R4","33R","R_0402_1005Metric",104.793800,-51.285300,-90.000000,top
"R5","1K","R_0201_0603Metric",103.581200,-58.075000,-90.000000,top
"R6","1K","R_0201_0603Metric",109.651800,-38.383200,0.000000,top
"R7","10K","R_0201_0603Metric",103.581200,-51.663600,-90.000000,top
"R8","10K","R_0201_0603Metric",103.581200,-53.075800,-90.000000,top
"R9","5K1","R_0201_0603Metric",103.581200,-56.667400,90.000000,top
"R10","5K1","R_0201_0603Metric",103.581200,-55.270400,-90.000000,top
"R11","1K","R_0201_0603Metric",109.225600,-49.828000,0.000000,top
"U1","RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",109.220000,-44.221400,180.000000,top
"U3","AP2112K-3.3","SOT-23-5",114.290800,-50.412200,0.000000,top
"U4","USBLC6-2P6","SOT-666",111.649200,-51.594200,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",107.067600,-37.236400,0.000000,top
