Ref,Val,Package,Mid X,Mid Y,Rotation,Side
"C3","4.7uF","C_0402_1005Metric",107.365800,-53.517800,180.000000,bottom
"C4","0.1uF","C_0402_1005Metric",106.857800,-55.753000,90.000000,bottom
"C5","0.1uF","C_0402_1005Metric",108.432600,-58.242200,0.000000,bottom
"C6","0.1uF","C_0402_1005Metric",111.556800,-58.978800,90.000000,bottom
"C7","4.7uF","C_0402_1005Metric",110.388400,-53.032600,-90.000000,bottom
"C8","0.1uF","C_0402_1005Metric",111.582200,-54.686200,-90.000000,bottom
"C9","0.1uF","C_0402_1005Metric",105.943400,-54.991000,90.000000,bottom
"C10","0.1uF","C_0402_1005Metric",109.268200,-59.156600,0.000000,bottom
"C11","0.1uF","C_0402_1005Metric",112.496600,-58.115200,90.000000,bottom
"C12","0.1uF","C_0402_1005Metric",105.537000,-58.267600,90.000000,bottom
"C13","4.7uF","C_0402_1005Metric",106.680000,-51.181000,0.000000,bottom
"C14","4.7uF","C_0402_1005Metric",111.125000,-61.950600,45.000000,bottom
"C20","0.1uF","C_0402_1005Metric",106.680000,-52.095400,0.000000,bottom
"C21","0.1uF","C_0402_1005Metric",109.423200,-53.032600,-90.000000,bottom
"C22","0.1uF","C_0402_1005Metric",111.582200,-57.150000,-90.000000,bottom
"R1","10K","R_0402_1005Metric",109.880400,-51.130200,0.000000,bottom
"R2","1K","R_0402_1005Metric",114.249200,-60.731400,-45.000000,bottom
"R3","1K","R_0402_1005Metric",106.680000,-66.573400,0.000000,bottom
"C1","4.7uF","C_0402_1005Metric",112.572800,-63.754000,-90.000000,top
"C2","4.7uF","C_0402_1005Metric",108.000800,-67.284600,180.000000,top
"C15","4.7uF","C_0402_1005Metric",103.809800,-62.346600,90.000000,top
"C16","4.7uF","C_0402_1005Metric_small_pads",105.999890,-62.091943,180.000000,top
"C17","4.7uF","C_0402_1005Metric_small_pads",105.999890,-63.031743,180.000000,top
"C18","15pF","C_0402_1005Metric",113.131600,-48.895000,0.000000,top
"C19","15pF","C_0402_1005Metric",111.302800,-48.895000,0.000000,top
"D1","LED_Small","LED_0402_1005Metric",103.559900,-75.379200,-90.000000,top
"D2","1N5819WS","D_SOD-323",114.427000,-63.610200,90.000000,top
"D3","1N5819WS","D_SOD-323",110.515400,-67.310000,0.000000,top
"D4","XL-1010RGBC-WS2812B","XL-1010RGBC-2812B",109.220000,-62.382400,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_connector_c2765186",109.173300,-71.660000,0.000000,top
"L1","3.3u","L_pol_2016",106.349600,-64.708143,0.000000,top
"R4","33R","R_0402_1005Metric",103.810000,-64.198100,-90.000000,top
"R5","1K","R_0402_1005Metric",103.555800,-69.799200,-90.000000,top
"R6","1K","R_0402_1005Metric",108.536200,-49.860200,0.000000,top
"R7","10K","R_0402_1005Metric",103.555800,-73.507600,90.000000,top
"R8","10K","R_0402_1005Metric",103.555800,-71.653400,90.000000,top
"R9","5K1","R_0402_1005Metric",114.888300,-72.942800,90.000000,top
"R10","5K1","R_0402_1005Metric",114.888300,-71.084600,-90.000000,top
"U1","RP2354B","RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias",109.220000,-55.880000,180.000000,top
"U3","AP2112K-3.3","SOT-23-5",110.052700,-64.907200,90.000000,top
"U4","USBLC6-2P6","SOT-666",113.207800,-66.700400,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",108.280200,-47.625000,180.000000,top
